NA,dataset,par,Aa,Ad,Ca,Mea,Med,AaAa,AaAd,AaCa,AdAd,AdCa,Xa,AdXa,XaXa,XaCa,Ya,AdYa,XaYa,YaCa,Xd,AaXa,AaXd,AdXd,XaXd,XdXd,XdCa,AaYa
110,fruit.years.csv,Unconditional Standard Error,0.078133025,0.105262044,0.062726857,NA,NA,0.02352648,0.140067775,0.105262044,0.140660358,0.025675379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,fruit.years.csv,vi,0.506958498,0.224097903,0.435948972,NA,NA,0.118900442,0.219165508,0.224097903,0.407440115,0.148365796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,fruitnum.dj38.csv,Model Weighted Average,0.097,0,NA,NA,NA,0.046,-0.004,NA,-0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,fruitnum.dj38.csv,Unconditional Standard Error,4.02E-17,0,NA,NA,NA,6.14E-17,1.10E-16,NA,6.87E-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,fruitnum.dj38.csv,vi,1,1.17E-75,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,fruitnum.dj39.csv,Model Weighted Average,0.059590103,-0.063056907,NA,NA,NA,0.010857007,0,NA,0.010912501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,fruitnum.dj39.csv,Unconditional Standard Error,0.006729121,0.030231665,NA,NA,NA,0.017913305,0,NA,0.017581144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,fruitnum.dj39.csv,vi,0.993051054,0.792165335,NA,NA,NA,0.189054328,0.004293893,NA,0.22292147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,fruitnum.dr38.csv,Model Weighted Average,0.00733029,-0.035450823,NA,NA,NA,-0.01742491,0.001376369,NA,-0.053269871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,fruitnum.dr38.csv,Unconditional Standard Error,0.008262317,0.052389607,NA,NA,NA,0.026274298,0.003079548,NA,0.031165385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,fruitnum.dr38.csv,vi,0.478925234,0.282822913,NA,NA,NA,0.267305138,0.038086548,NA,0.732033279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,fruitnum.jb39.csv,Model Weighted Average,0.012672863,-0.001040795,NA,NA,NA,0.005234414,-0.009882318,NA,-0.000471451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,fruitnum.jb39.csv,Unconditional Standard Error,0.005351491,0.002253166,NA,NA,NA,0.006273672,0.014141107,NA,0.001193427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,fruitnum.jb39.csv,vi,0.878777529,0.097024659,NA,NA,NA,0.453602264,0.337146767,NA,0.057173852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,fruitnum.jr39.csv,Model Weighted Average,0.161118758,0,NA,NA,NA,0.080030469,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,fruitnum.jr39.csv,Unconditional Standard Error,0.003266052,0,NA,NA,NA,0.003978097,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,fruitnum.jr39.csv,vi,0.999999717,0.000950516,NA,NA,NA,0.999942125,0.002082501,NA,0.000935711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,fruitprop.years.csv,Model Weighted Average,-0.005704563,0.040397285,0.004478362,NA,NA,0.04621726,-0.0251892,-0.04104005,0.114982169,0.01987769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,fruitprop.years.csv,Unconditional Standard Error,0.028505322,0.143198523,0.019955589,NA,NA,0.136426374,0.086153027,0.136950354,0.209912727,0.048851286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,fruitprop.years.csv,vi,0.153284005,0.187775171,0.166295758,NA,NA,0.18425778,0.167738592,0.187775171,0.292038331,0.191026031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,fruitwt.dj38.csv,Model Weighted Average,1.421046431,-1.428465449,NA,NA,NA,0.095294761,-1.256176839,NA,-1.655473483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,fruitwt.dj38.csv,Unconditional Standard Error,2.405802607,2.912976048,NA,NA,NA,0.903016767,3.388956809,NA,3.101877729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,fruitwt.dj38.csv,vi,0.330064651,0.227253132,NA,NA,NA,0.137041816,0.165803056,NA,0.276042736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,fruitwt.dj39.csv,Model Weighted Average,16.13542625,-0.103276422,NA,NA,NA,0.206927279,-0.458417104,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,fruitwt.dj39.csv,Unconditional Standard Error,0.803866255,0.235252766,NA,NA,NA,0.406516553,0.958490226,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,fruitwt.dj39.csv,vi,0.999996633,0.055306582,NA,NA,NA,0.122817308,0.087981883,NA,0.036947154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,fruitwt.jb38.csv,Model Weighted Average,17.23746946,-0.135184765,NA,NA,NA,12.48290735,-7.975469983,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,fruitwt.jb38.csv,Unconditional Standard Error,5.409882426,0.282057596,NA,NA,NA,5.81349832,6.475993295,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,fruitwt.jb38.csv,vi,0.968547521,0.029150787,NA,NA,NA,0.88828534,0.638021092,NA,0.010999754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,fruitwt.jb39.csv,Model Weighted Average,30.73648387,-0.675509668,NA,NA,NA,2.097240512,0,NA,-0.131647975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,fruitwt.jb39.csv,Unconditional Standard Error,2.936967696,1.402062838,NA,NA,NA,3.383430664,0,NA,0.366949973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,fruitwt.jb39.csv,vi,0.999806768,0.086913513,NA,NA,NA,0.260533004,0.021531584,NA,0.03159686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,fruitwt.jr39.csv,Model Weighted Average,21.44648743,0,NA,NA,NA,15.84222624,-10.08799194,NA,0.117512807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,fruitwt.jr39.csv,Unconditional Standard Error,6.107562977,0,NA,NA,NA,6.050917809,6.132432515,NA,0.238081996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,fruitwt.jr39.csv,vi,0.95136007,0.024395846,NA,NA,NA,0.879684647,0.702492752,NA,0.022974997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,fry.num1.csv,Model Weighted Average,0.18324232,-0.605131281,-0.010629445,NA,NA,0.605131281,NA,NA,NA,-0.358002366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,fry.num1.csv,Unconditional Standard Error,0.371341093,0.943175727,0.051120782,NA,NA,0.943175727,NA,NA,NA,0.602881986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,fry.num1.csv,vi,0.11801635,0.305031715,0.034727086,NA,NA,0.305031715,NA,NA,NA,0.263629296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,germ.rate.csv,Model Weighted Average,3.055544359,0.206127506,NA,NA,NA,12.99006557,0.133433715,NA,0.108919736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,germ.rate.csv,Unconditional Standard Error,1.40556868,0.414209371,NA,NA,NA,1.835351027,0.298704594,NA,0.219773015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,germ.rate.csv,vi,0.826470333,0.053889084,NA,NA,NA,0.987154142,0.026304518,NA,0.054082587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,germLCA.csv,Model Weighted Average,-0.018681073,-0.004443989,NA,NA,NA,0.003168745,-2.49868269,NA,-0.008888042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,germLCA.csv,Unconditional Standard Error,0.042122278,0.030417252,NA,NA,NA,0.019922956,0.570125665,NA,0.060834583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,germLCA.csv,vi,0.147804862,0.074700163,NA,NA,NA,0.074466154,0.97711344,NA,0.074700156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,gill.rake.len.csv,Model Weighted Average,0.168925784,0,0.004742427,0,0,0.140619376,0,-0.15747497,0,0.001556687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,gill.rake.len.csv,Unconditional Standard Error,0.012978996,0,0.008552853,0,0,0.071438248,0,0.07949556,0,0.003150793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,gill.rake.len.csv,vi,0.994717725,0.003812745,0.132196517,0.008038889,0.006487915,0.731819369,0.004235095,0.733050736,0.003867105,0.040688258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,gill.rake.num.csv,Model Weighted Average,3.017742241,-0.004024525,-0.001848516,-0.001939611,0,0,0.059507248,0.002802287,-0.008200335,-0.002573128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,gill.rake.num.csv,Unconditional Standard Error,0.149508784,0.01250421,0.00651265,0.007474133,0,0,0.132381032,0.009098513,0.020593134,0.008657801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,gill.rake.num.csv,vi,0.999736053,0.028518216,0.026325964,0.025435302,0.022398921,0.023280437,0.063886585,0.027706112,0.04026903,0.027597059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,growth.csv,Model Weighted Average,-0.013181232,0.00133685,0.000178552,-0.002932669,0.002127364,0.006256421,-0.02677167,-0.010865632,0.004105007,0.004602732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,growth.csv,Unconditional Standard Error,0.020317119,0.00408654,0.001671385,0.006182674,0.004712296,0.014943832,0.048051802,0.020738317,0.009320925,0.009758997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,growth.csv,vi,0.307085892,0.057592687,0.070996781,0.136331633,0.097336615,0.095588874,0.20421677,0.140162583,0.092000293,0.117374806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,growth.years.csv,Model Weighted Average,-0.083207946,0.314245141,-0.008664566,NA,NA,0.065838565,-0.250741371,-0.308675697,0.589005481,0.061695558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,growth.years.csv,Unconditional Standard Error,0.297527301,1.00749561,0.150736703,NA,NA,0.679715404,0.80047444,0.981749441,1.353282895,0.315391641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,growth.years.csv,vi,0.174579659,0.174939164,0.170194457,NA,NA,0.173985135,0.181651722,0.174939164,0.226000016,0.172905913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,h-ba.sq.csv,Model Weighted Average,-5.132016853,-147.2655398,-0.005685342,4.993462317,-17.27238273,-47.23934664,-4.220485612,-0.023355779,129.7309152,-0.053693577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,h-ba.sq.csv,Unconditional Standard Error,5.557518074,87.93341707,0.074979292,4.299577343,3.970443599,17.61209705,7.636517055,0.130564793,65.28166846,0.195925932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,h-ba.sq.csv,vi,0.5365108,0.789423325,0.052771688,0.656171054,0.997375355,0.917142619,0.285581697,0.049988371,0.855747166,0.054897458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,h-ban.osa.csv,Model Weighted Average,-0.773708816,-21.5590951,0.476665896,0.633036274,-11.12227464,-31.81426434,-18.02318641,3.086919313,-4.374780546,0.891531596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,h-ban.osa.csv,Unconditional Standard Error,1.53035262,16.19350844,0.817403922,1.164700279,2.966611961,9.750908,6.58543493,2.81502984,7.433341935,1.568732186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,h-ban.osa.csv,vi,0.14286901,0.689569003,0.252583334,0.213217242,0.972489202,0.970715257,0.89798453,0.607600651,0.257855923,0.25899338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,h-bh.sq.csv,Model Weighted Average,-1.580629285,-189.7920404,-6.163180011,-0.923758648,0.027321569,-30.38551273,58.797315,-1.428185789,165.3108891,1.26644584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,h-bh.sq.csv,Unconditional Standard Error,2.844254062,30.4444314,2.082358322,1.462305037,0.079500584,13.51316728,7.936816986,2.292057245,18.43328365,2.607914072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,h-bh.sq.csv,vi,0.199786351,0.999994736,0.980148718,0.298493232,0.041409906,0.882337146,0.99999125,0.285369819,0.99999986,0.18979891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,h-col.ban.csv,Model Weighted Average,-4.070802826,-2.382190629,0.068567483,9.215065256,-5.110250729,-20.58351532,-1.34439268,-0.546728818,0.375794713,0.030143095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,h-col.ban.csv,Unconditional Standard Error,5.482921346,6.351782587,0.293683641,3.070411376,4.162453086,12.58796291,3.758852665,1.390449732,2.26995043,0.400990905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,h-col.ban.csv,vi,0.426096832,0.205822088,0.109903287,0.968020248,0.686798871,0.801466937,0.183080692,0.139256623,0.13595453,0.103582825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,h-da.sq.csv,Model Weighted Average,-1.788095356,-70.07164805,-11.86144151,-1.715778429,-0.939536509,3.182365266,44.41961561,1.095115335,69.69457989,18.30209146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,h-da.sq.csv,Unconditional Standard Error,10.64835025,82.38702408,15.77722912,3.263325677,2.019236655,6.891521052,27.67646978,2.240555616,74.02123571,29.67495504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,h-da.sq.csv,vi,0.354191904,0.520826027,0.52010878,0.220324394,0.161912504,0.167409198,0.811188677,0.183585991,0.582639268,0.442347196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,h-dar.bho.csv,Model Weighted Average,1.359722116,-77.78067132,-3.408778618,1.958202388,-10.62709663,-60.01254123,4.422061389,5.027108155,13.82465647,2.838691114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,h-dar.bho.csv,Unconditional Standard Error,2.660825851,31.15990797,3.951828167,3.084849503,7.366548471,13.56141276,7.522254427,6.340052103,21.70714251,5.346727567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,h-dar.bho.csv,vi,0.214222698,0.972165203,0.523583831,0.304300559,0.730456546,0.990174993,0.261470996,0.454594748,0.343421841,0.268716515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,h-nig.sing.csv,Model Weighted Average,5.958580246,24.01896191,-0.237219136,-0.281377187,0.675241016,-6.378808015,-2.894737013,-5.110189633,-5.696374783,-5.22183915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,h-nig.sing.csv,Unconditional Standard Error,9.501194388,34.22202692,2.500620763,2.170467291,2.488913112,11.68778986,9.646421906,8.181704196,17.0456493,8.369776768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,h-nig.sing.csv,vi,0.35087056,0.415251202,0.275111705,0.198213621,0.192705663,0.293038482,0.191167359,0.340966692,0.231762004,0.358157311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,h-osa.col.csv,Model Weighted Average,7.859394804,3.579874843,0.168876383,-9.597640684,-1.248411814,1.620885321,-21.35939039,0.586518324,-3.162928131,-0.215568147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,h-osa.col.csv,Unconditional Standard Error,7.93339119,7.77545111,0.470492591,2.787486729,2.10530163,3.427304475,18.03644634,1.339014585,5.729517054,0.920018352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,h-osa.col.csv,vi,0.599167334,0.184133598,0.127314359,0.956845148,0.30448491,0.181747707,0.691439871,0.17862804,0.240123019,0.150970823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,h-pm.sin.csv,Model Weighted Average,-0.177945209,-6.843658626,3.985403446,-5.518108258,2.791288576,-38.8120088,-15.05385753,1.915438773,-8.261953022,8.179892798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,h-pm.sin.csv,Unconditional Standard Error,6.129074423,20.03878425,4.45813011,6.470091891,4.574119627,14.1536027,15.77725714,3.481377134,12.03165638,7.857147083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,h-pm.sin.csv,vi,0.540387045,0.445917455,0.501241795,0.499555642,0.281065472,0.927541719,0.544371794,0.214397929,0.376409433,0.608326602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,leafLFa.csv,Model Weighted Average,-0.008011139,-0.036890306,0.001765721,-0.002166451,-0.000660269,-0.01861638,-1.18106097,0.076015136,-0.061919894,0.036890306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,leafLFa.csv,Unconditional Standard Error,0.016745801,0.06701534,0.007043712,0.005051565,0.005024269,0.057632772,0.596557926,0.124457018,0.103993246,0.06701534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,leafLFa.csv,vi,0.048538934,0.150350487,0.033903305,0.040468003,0.020008237,0.083882155,0.773797434,0.217411482,0.20323108,0.150350487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,leafv.csv,Model Weighted Average,-0.180006853,0,0,0,0.4219318,-0.56978326,-2.718329124,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,leafv.csv,Unconditional Standard Error,0.00063453,0,0,0,0.001556018,0.001456168,0.005141827,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,leafv.csv,vi,0.995482935,0.002742195,0.00071249,0.004805358,0.990937752,0.991703195,0.992435938,0.001257959,0.000336965,0.002742195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,locule.dj38.csv,Model Weighted Average,1.845681056,-1.806273407,NA,NA,NA,-0.083917418,0,NA,-0.03674898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,locule.dj38.csv,Unconditional Standard Error,0.050847813,0.222561836,NA,NA,NA,0.138495951,0,NA,0.070816214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,locule.dj38.csv,vi,0.999996904,0.994736048,NA,NA,NA,0.201672263,0.000693774,NA,0.075705564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,locule.dj39.csv,Model Weighted Average,1.427434769,-1.622988078,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,locule.dj39.csv,Unconditional Standard Error,0.067987527,0.13874473,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,locule.dj39.csv,vi,0.999961531,0.980509555,NA,NA,NA,0.019870758,0.001230065,NA,0.016700355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,locule.dr38.csv,Model Weighted Average,1.401163313,-0.227363603,NA,NA,NA,0.734053251,-0.078966759,NA,-0.007019118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,locule.dr38.csv,Unconditional Standard Error,0.261699193,0.368247863,NA,NA,NA,0.476543745,0.148406826,NA,0.013613895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,locule.dr38.csv,vi,0.982275057,0.214726007,NA,NA,NA,0.695428775,0.090148168,NA,0.056634674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,locule.jb39.csv,Model Weighted Average,1.412181005,-0.333563817,NA,NA,NA,1.359786085,0,NA,0.140490718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,locule.jb39.csv,Unconditional Standard Error,0.189289707,0.598477111,NA,NA,NA,0.539452158,0,NA,0.272654296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,locule.jb39.csv,vi,0.991248199,0.119729907,NA,NA,NA,0.839471875,0.00849738,NA,0.053731746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,locule.jr39.csv,Model Weighted Average,3.421574868,-0.899877123,NA,NA,NA,2.05058481,-1.740302915,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,locule.jr39.csv,Unconditional Standard Error,0.228353089,1.256812717,NA,NA,NA,1.278768845,1.127803677,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,locule.jr39.csv,vi,0.997986417,0.298169648,NA,NA,NA,0.698513744,0.661095522,NA,0.004424851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,m-ba.sq.csv,Model Weighted Average,-3.787666345,-153.3634438,-0.029036853,6.871737714,-7.044468895,-0.80387647,-4.025596031,-0.007290708,177.8291966,-0.217221285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,m-ba.sq.csv,Unconditional Standard Error,3.60287401,32.10609669,0.146609974,2.565808085,2.432668899,1.852313942,6.091009873,0.08654556,26.38012647,0.484914619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,m-ba.sq.csv,vi,0.588484136,0.996880194,0.083396033,0.924859553,0.950830244,0.090296021,0.36343336,0.049315586,0.999731019,0.100241238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,m-bh.sq.csv,Model Weighted Average,3.792442583,-171.3191995,-1.917460417,-0.728467692,1.199136265,-2.467230609,37.11672799,0.788957162,169.832242,-2.410402029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,m-bh.sq.csv,Unconditional Standard Error,7.778831283,44.65655448,2.702683849,1.6281467,2.374454964,6.327119902,22.80823937,1.978279103,38.68005852,4.390427911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,m-bh.sq.csv,vi,0.274545212,0.971549282,0.41543489,0.14513704,0.195443041,0.128942449,0.771015314,0.161346068,0.990748332,0.336288324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,m-da.sq.csv,Model Weighted Average,-0.449878569,-175.1700646,-0.017439308,-13.48935451,-0.096201833,-0.158255,64.15725625,0.116662661,163.3439857,-0.009157881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,m-da.sq.csv,Unconditional Standard Error,1.231638115,26.59734572,0.077437359,2.237179998,0.286898181,0.845688068,6.944383666,0.306508259,22.84277159,0.140535402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,m-da.sq.csv,vi,0.089708413,0.999799901,0.072421315,0.999716823,0.082034939,0.069668239,0.999349988,0.092664124,0.999876758,0.070407516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,male.num.csv,Model Weighted Average,0.919539698,-11.75147267,0.134088266,NA,0.076313368,0.154615763,-1.629707165,-1.289733346,10.8155686,-0.160666459,0.066395118,-0.03893171,-0.076313368,NA,-0.220442537,-1.004403625,0.038646911,0.750284214,NA,0.318670198,NA,NA,NA,NA,NA,0.390759124
224,male.num.csv,Unconditional Standard Error,1.179376974,6.624958487,0.253983292,NA,0.183391773,0.352036255,2.229303681,0.962703311,5.514774863,0.34554748,0.136659178,0.127746119,0.183391773,NA,0.405936515,0.945008235,0.092946519,0.399084474,NA,0.668420372,NA,NA,NA,NA,NA,0.68136472
