"","epi","class","kingdom","divergence","combo"
"459",0.918736303675095,"LH","plant","between","Eucalyptus-20 year survival"
"460",0.563768229800233,"LH","plant","between","Eucalyptus-germination success"
"461",0.715409742748165,"LH","plant","between","Eucalyptus-germination time"
"463",0.498595326157122,"LH","plant","between","Eucalyptus-seed set"
"464",0,"M","animal","within","Astyanax-eye-ball size"
"465",0,"M","animal","within","Drosophila falleni-fluctuating asymmetry"
"466",0.881809821927486,"LH","plant","within","Vicia faba-days to flower"
"469",0.435773183841455,"LH","plant","within","Vicia faba-harvest index"
"470",0.660133930174408,"LH","plant","within","Vicia faba-seed weight"
"472",0.0472541816278175,"M","plant","within","Vicia faba-number of branches"
"474",0.468632358428479,"LH","plant","within","Vicia faba-number of pods"
"476",0.394211644415051,"LH","plant","within","Vicia faba-number of seeds"
"478",0.931796304739826,"M","plant","within","Vicia faba-plant height"
"481",0.406854615989217,"LH","plant","within","Vicia faba-seed yield"
"484",0.709235599431004,"LH","plant","between","Silene latifolia, Silene diclinis-number of females"
"485",0,"M","animal","within","Drosophila melanogaster-flight time"
"486",0.223743191112652,"LH","plant","within","Vigna sesquipedalis-days to flower"
"490",0.263057231603003,"LH","plant","within","Solanum melongena-number of days taken to flower"
"496",0.459784065794465,"LH","plant","within","Brassica juncea-days to flower initiation"
"497",0.29572223943286,"LH","plant","within","Brassica junces-days to flower initiation"
"501",0,"LH","plant","between","Iris brevivaulis, Iris fulva-number of flowers"
"502",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-flower length"
"503",0.185646509086434,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-flower height"
"505",0,"LH","plant","between","Mimulus cuprilphilus, Mimulus guttatus-number of flowering stems"
"506",0,"LH","plant","between","Solanum lycopersicum, Solanum pennellii-time to flowering (anthesis)"
"507",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-flower width"
"508",0.341210552122195,"LH","plant","within","Solanum melongena-fruit-size index (cm)"
"514",0.25886397982574,"LH","plant","within","Solanum melongena-number of fruit per plant "
"521",0.139559647185629,"LH","plant","within","Cucumis sativus-fruit bearing index"
"527",0.352923935795879,"LH","plant","between","Lycopersicon esculenium, Lycopersicon pimpinellifolium-number of fruits"
"532",0.179313365732036,"LH","plant","within","Cucumis sativus-fruit number per plot"
"539",0.426772208372552,"LH","plant","within","Cucumis sativus-fruit weight per plot (kg)"
"545",0.195722017274718,"M","plant","within","watermelon-fruit shape"
"549",0.272510577646383,"LH","plant","between","Lycopersicon esculenium, Lycopersicon pimpinellifolium-fruit weight"
"554",0.57429174679974,"LH","plant","within","Cucumis sativus-fruit weight"
"560",0.809571317468318,"LH","plant","between","Salix eriocephala, Salix sericea-germination rate"
"561",1,"LH","plant","between","Solanum pennellii, Solanum lycopersicum-time to germination "
"562",0.638290144195831,"M","animal","within","stickleback-gill raker length"
"563",0,"M","animal","within","stickleback-gill raker number"
"564",0,"M","plant","within","Momordica charantia-number of primary branches"
"565",0.53391342758286,"M","plant","within","Momordica charantia-internode length"
"567",0.288505532485599,"M","plant","within","Momordica charantia-leaf length"
"568",1,"M","plant","within","Momordica charantia-leaf length width ratio"
"569",0,"M","plant","within","Momordica charantia-leaf width"
"570",0.440501405597489,"M","plant","within","Momordica charantia-peduncle length"
"571",0,"LH","plant","within","Momordica charantia-pericarp thickness"
"572",0.432893985973936,"LH","plant","within","Momordica charantia-seed number"
"574",0,"LH","plant","within","bread wheat-grain yield per plant"
"575",0.490281314145226,"LH","plant","within","bread wheat-number of grains per spike"
"576",0.477701498064357,"LH","plant","within","Vigna unguiculata-grain yield"
"590",0.135372632696481,"LH","plant","within","Vigna sesquipedalis-days to harvest"
"595",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-plant height"
"596",0,"M","plant","within","Datura stramonium-internode number"
"600",0,"M","plant","within","Desmodium sandwicense-leaf width"
"601",0,"M","plant","between","Zea mays, Zea diploperennis Iltis-kernels per row"
"618",0,"M","plant","between","Zea mays, Zea diploperennis Iltis-kernel rows per ears"
"637",0,"LH","animal","between","Lucania goodei, Lucania parva-hatching success low salinity"
"638",0,"LH","animal","between","Lucania goodei, Lucania parva-survival to eating high salinity"
"640",0,"M","plant","within","Zea mays-number of lateral roots"
"641",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-leaf area"
"642",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-leaf length"
